,date,track_id,mix_id,mix_name,track_type_id,track_title,bodypump_release_number,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated,difficulty,enjoyment,workout_date_id,training_datetime,cardio_load,maximum_heart_rate,song_duration_sec_impute,total_reps_impute,total_reps_pulses_impute,sec_per_rep_impute,total_intensity_impute,sec_per_rep_normalized_impute,total_intensity_modulated_impute
0,2024-02-24,9601,001,Mix 1 Medium+,01,FIVE MORE HOURS,96,5:29,329.0,80.0,0.0,4.1125,4120.0,1.152727782819765,3574.1309105275404,3,3,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,329.0,80.0,0.0,4.1125,4120.0,1.152727782819765,3574.1309105275404
1,2024-02-24,11702,001,Mix 1 Medium+,02,NOTHING FOR FREE,117,5:22,322.0,162.0,72.0,1.9876543209876543,9020.0,0.6750222512591785,13362.52246970259,8,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,322.0,162.0,72.0,1.9876543209876543,9020.0,0.6750222512591785,13362.52246970259
2,2024-02-24,10903,001,Mix 1 Medium+,03,SATISFIED,109,5:22,322.0,104.0,24.0,3.0961538461538463,5380.0,1.135693368795255,4737.194165100313,6,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,322.0,104.0,24.0,3.0961538461538463,5380.0,1.135693368795255,4737.194165100313
3,2024-02-24,11104,001,Mix 1 Medium+,04,RESERVE,111,5:43,343.0,102.0,0.0,3.3627450980392157,5450.0,0.9173894109796773,5940.7705547636115,9,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,343.0,102.0,0.0,3.3627450980392157,5450.0,0.9173894109796773,5940.7705547636115
4,2024-02-24,11005,001,Mix 1 Medium+,05,WOMAN LIKE ME,,,,,,,,,,8,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,121.77027027027027,121.77027027027027,33.83783783783784,1.011089090409027,8612.188287082014,1.011089090409027,8612.188287082014
5,2024-02-24,10406,001,Mix 1 Medium+,06,BACK AGAIN,,,,,,,,,,7,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,93.16438356164383,93.16438356164383,44.52054794520548,1.020071571826141,6990.2007336657225,1.020071571826141,6990.2007336657225
6,2024-02-24,9607,001,Mix 1 Medium+,07,PEANUT BUTTER JELLY,96,5:21,321.0,154.0,126.0,2.0844155844155843,8665.0,0.7216713036209741,12006.851258354742,8,5,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,321.0,154.0,126.0,2.0844155844155843,8665.0,0.7216713036209741,12006.851258354742
7,2024-02-24,11708,001,Mix 1 Medium+,08,THE MOVEMENT,117,5:38,338.0,99.0,0.0,3.414141414141414,6955.0,1.051965352403432,6611.434477485277,7,4,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,338.0,99.0,0.0,3.414141414141414,6955.0,1.051965352403432,6611.434477485277
8,2024-02-24,10609,001,Mix 1 Medium+,09,REVENGE,106,3:50,230.0,64.0,30.0,3.59375,985.0,0.8831428139014309,1115.3348977031224,4,4,2024-02-24_1,2024-02-24 18:37:04.648,19.8103,161.0,230.0,64.0,30.0,3.59375,985.0,0.8831428139014309,1115.3348977031224
9,2024-02-25,10401,002,Mix 2 OK+,01,MORE THAN YOU KNOW,,,,,,,,,,2,5,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,97.27160493827161,97.27160493827161,0.4444444444444444,0.9517947823753575,5991.053116275056,0.9517947823753575,5991.053116275056
10,2024-02-25,10702,002,Mix 2 OK+,02,DREAMER (MATISSE _ SADKO REMIX),107,6:13,373.0,116.0,24.0,3.2155172413793105,6360.0,1.0920136687349304,5824.1029229678925,6,4,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,373.0,116.0,24.0,3.2155172413793105,6360.0,1.0920136687349304,5824.1029229678925
11,2024-02-25,9803,002,Mix 2 OK+,03,FOCUS,98,5:48,348.0,122.0,84.0,2.8524590163934427,6290.0,1.0463042053619251,6011.6359733298,8,4,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,348.0,122.0,84.0,2.8524590163934427,6290.0,1.0463042053619251,6011.6359733298
12,2024-02-25,9904,002,Mix 2 OK+,04,WINTERBURN,99,6:15,375.0,88.0,0.0,4.261363636363637,3360.0,1.1625412460234779,2890.220034336867,6,4,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,375.0,88.0,0.0,4.261363636363637,3360.0,1.1625412460234779,2890.220034336867
13,2024-02-25,10005,002,Mix 2 OK+,05,ME TOO,,,,,,,,,,7,3,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,121.77027027027027,121.77027027027027,33.83783783783784,1.011089090409027,8612.188287082014,1.011089090409027,8612.188287082014
14,2024-02-25,10406,002,Mix 2 OK+,06,BACK AGAIN,,,,,,,,,,7,5,2024-02-25_1,2024-02-25 13:03:50.037,39.347,155.0,93.16438356164383,93.16438356164383,44.52054794520548,1.020071571826141,6990.2007336657225,1.020071571826141,6990.2007336657225
