,track_id,bodypump_release_number,track_title,track_type_id,muscle_group,difficulty,enjoyment,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated
41,9305,93,BANG BANG,05,TRICEPS,7,5,,,,,,,,
42,8503,85,UPRISING,03,CHEST,7,4,,,,,,,,
43,10406,104,BACK AGAIN,06,BICEPS,7,5,,,,,,,,
44,13108,131,TRACES OF YOU,08,SHOULDERS,7,4,,,,,,,,
45,9503,95,MARK RONSON FEAT. BRUNO MARS - UPTOWN FUNK,03,CHEST,7,4,6:06,366.0,89.0,26.0,4.112359550561798,4425.0,1.5084455436465414,2933.4834251311
46,9908,99,OLD SKOOL,08,SHOULDERS,7,3,5:30,330.0,111.0,0.0,2.972972972972973,6725.0,0.9160325194045557,7341.442424305439
47,10806,108,MAKE IT RAIN,06,BICEPS,7,5,4:54,294.0,67.0,15.0,4.388059701492537,3960.0,1.2895462991744815,3070.8474775469804
48,10003,100,BAD MAN,03,CHEST,7,4,,,,,,,,
49,12403,124,LONELY BOY,03,CHEST,7,3,4:53,293.0,102.0,0.0,2.872549019607843,4790.0,1.053673375165297,4546.000793887916
50,10904,109,THE ISLAND PT. 1 (DAWN) [SKRILLEX REMIX],04,BACK,6,5,5:48,348.0,80.0,0.0,4.35,3730.0,1.186722103940766,3143.1115908381016
51,13105,131,THESE WORDS,05,TRICEPS,7,5,,,,,,,,
52,10907,109,THE IN BETWEEN,07,LUNGES,7,5,5:40,340.0,152.0,72.0,2.236842105263158,9520.0,0.7744447749138015,12292.677681322868
53,10208,102,FEEL IT,08,SHOULDERS,7,3,,,,,,,,
54,10405,104,TOUCH,05,TRICEPS,7,4,,,,,,,,
55,11208,112,DO IT AGAIN,08,SHOULDERS,7,3,,,,,,,,
56,9807,98,MEMORIES,07,LUNGES,7,4,5:28,328.0,192.0,56.0,1.7083333333333333,11180.0,0.5914632153508347,18902.274410029753
57,9408,94,THIS IS HOW IT GOES,08,SHOULDERS,6,1,5:25,325.0,114.0,0.0,2.8508771929824563,7180.0,0.8784123641020561,8173.8375886132335
58,9904,99,WINTERBURN,04,BACK,6,4,6:15,375.0,88.0,0.0,4.261363636363637,3360.0,1.1625412460234779,2890.220034336867
59,10007,100,NO MONEY,07,LUNGES,7,4,,,,,,,,
60,10008,100,NRG,08,SHOULDERS,7,2,,,,,,,,
61,10403,104,YOUNG AND MENACE,03,CHEST,7,3,,,,,,,,
62,9306,93,CENTURIES,06,BICEPS,7,4,,,,,,,,
63,10204,102,BLAME,04,BACK,6,3,,,,,,,,
64,10905,109,I LIKE IT,05,TRICEPS,7,4,5:08,308.0,144.0,90.0,2.138888888888889,8900.0,0.7881220555241264,11292.667090862233
65,13106,131,DRAMA,06,BICEPS,6,3,,,,,,,,
66,10404,104,AIN'T GIVING UP (WIDE AWAKE REMIX),04,BACK,7,4,,,,,,,,
67,10307,103,ILYSM,07,LUNGES,7,4,,,,,,,,
68,12405,124,2 BE LOVED (AM I READY),05,TRICEPS,7,3,5:17,317.0,148.0,0.0,2.141891891891892,9480.0,0.7892285799966068,12011.729225569554
69,9905,99,SOMETHING IN THE WAY YOU MOVE,05,TRICEPS,6,3,6:11,371.0,112.0,64.0,3.3125,6440.0,1.2205656509253515,5276.242203864758
70,9506,95,FLO RIDA FEAT. SAGE THE GEMINI AND LOOKAS - GDFR,06,BICEPS,7,3,4:25,265.0,154.0,120.0,1.7207792207792207,9220.0,0.5056960540207377,18232.295717343888
71,10708,107,WE WANT YOUR SOUL (ROB _ JACK REMIX),08,SHOULDERS,7,2,5:33,333.0,126.0,16.0,2.642857142857143,8160.0,0.814317220171972,10020.664917630904
72,10504,105,STAY FOR IT,04,BACK,7,3,6:12,372.0,88.0,0.0,4.2272727272727275,4040.0,1.15324091605529,3503.1708845528938
73,10005,100,ME TOO,05,TRICEPS,7,3,,,,,,,,
74,10506,105,CHAMPION,06,BICEPS,7,3,4:55,295.0,48.0,10.0,6.145833333333333,2775.0,1.8061141300441912,1536.4477547895062
75,8508,85,THIS IS HOW WE ROCK,08,SHOULDERS,6,1,,,,,,,,
76,11904,119,1000 FACES,04,BACK,7,2,5:17,317.0,81.0,0.0,3.9135802469135803,3190.0,1.0676625711628291,2987.835376232828
77,11807,118,DURA,07,LUNGES,8,4,5:48,348.0,149.0,72.0,2.335570469798658,9430.0,0.8086267432657017,11661.746384884842
78,13107,131,HUMO,07,LUNGES,7,2,,,,,,,,
79,9208,92,THUMBS UP (FOR ROCK N ROLL) KILL,08,SHOULDERS,6,1,,,,,,,,
80,10805,108,SAY AMEN (SATURDAY NIGHT),05,TRICEPS,7,3,5:21,321.0,146.0,0.0,2.1986301369863015,9430.0,0.8101350714852166,11640.034275657303
81,9308,93,TWISTED,08,SHOULDERS,6,1,,,,,,,,
82,11803,118,THIS IS MY WORLD,03,CHEST,6,3,6:01,361.0,138.0,80.0,2.6159420289855073,7730.0,0.9595479304628917,8055.87689222674
83,12704,127,ANYWHERE,04,BACK,7,2,4:42,282.0,81.0,0.0,3.4814814814814814,3290.0,0.9497818456401194,3463.9533437098457
84,9907,99,WON'T STOP ROCKING,07,LUNGES,7,2,4:16,256.0,118.0,38.0,2.169491525423729,6510.0,0.7511264975435156,8666.982221090997
85,9808,98,REDLINER (STUDIO-X TRAP REMIX),08,SHOULDERS,6,1,5:27,327.0,145.0,0.0,2.2551724137931033,9710.0,0.6948637901113304,13973.961714776178
86,11004,110,FIRST TIME,04,BACK,7,2,,,,,,,,
87,13102,131,BLIND FAITH,02,SQUATS,7,2,,,,,,,,
