,move_tempo,intensity
163,SHOULDER STRICT PRESS - 2/2,50
164,SHOULDER STRICT PRESS - 4/4,50
165,SHOULDER STRICT PRESS - PULSE,50
166,SIDE RAISE - 1/1,50
167,SIDE RAISE - 1/1/2,50
168,SIDE RAISE - 1/3,50
169,SIDE RAISE - 2/2,50
170,SIDE RAISE - 3/1,50
171,SIDE RAISE - 4/4,50
172,SIDE RAISE EXTENSION - 1/1,50
173,SQUAT - 1/1,50
174,SQUAT - 1/1/2,50
175,SQUAT - 1/2/1,50
176,SQUAT - 1/3,50
177,SQUAT - 2/2,50
178,SQUAT - 3/1,50
179,SQUAT - 4/4,50
180,SQUAT - HALF,50
181,SQUAT - PULSE,50
182,SQUAT with CALF RAISE - PULSE,50
183,TRICEPS BARBELL EXTENSION - 1/1,50
184,TRICEPS BARBELL EXTENSION - 1/1/2,50
185,TRICEPS BARBELL EXTENSION - 2/2,50
186,TRICEPS BARBELL EXTENSION - 3/1,50
187,TRICEPS DIP - 1/1,50
188,TRICEPS DIP - 1/1/2,50
189,TRICEPS DIP - 2/2,50
190,TRICEPS DIP - 3/1,50
191,TRICEPS DIP - 4/4,50
192,TRICEPS DIP - PULSE,50
193,TRICEPS KICKBACK - 1/1,50
194,TRICEPS KICKBACK - 1/3,50
195,TRICEPS KICKBACK - 2/2,50
196,TRICEPS KICKBACK - 3/1,50
197,TRICEPS KICKBACK - 4/4,50
198,TRICEPS KICKBACK - PULSE,50
199,TRICEPS KICKBACK - TRIPLE,50
200,TRICEPS OVERHEAD EXTENSION - 1/1,50
201,TRICEPS OVERHEAD EXTENSION - 1/1/2,50
202,TRICEPS OVERHEAD EXTENSION - 1/3,50
203,TRICEPS OVERHEAD EXTENSION - 2/2,50
204,TRICEPS OVERHEAD EXTENSION - 3/1,50
205,TRICEPS OVERHEAD EXTENSION - 4/4,50
206,TRICEPS OVERHEAD EXTENSION - PULSE,50
207,TRICEPS PRESS - 1/1,50
208,TRICEPS PRESS - 1/1/2,50
209,TRICEPS PRESS - 2/2,50
210,TRICEPS PRESS - 3/1,50
211,TRICEPS PRESS - 4/4,50
212,TRICEPS PRESS - PULSE,50
213,TRICEPS PULLOVER - 1/1,50
214,TRICEPS PULLOVER - 2/2,50
215,TRICEPS PUSHUP - 1/1,50
216,TRICEPS PUSHUP - 1/1/2,50
217,TRICEPS PUSHUP - 1/3,50
218,TRICEPS PUSHUP - 2/2,50
219,TRICEPS PUSHUP - 3/1,50
220,TRICEPS PUSHUP - 4/4,50
221,TRICEPS PUSHUP - PULSE,50
222,UPRIGHT ROW - 1/1,50
223,UPRIGHT ROW - 1/1/2,50
224,UPRIGHT ROW - 1/3,50
225,UPRIGHT ROW - 2/2,50
226,UPRIGHT ROW - 3/1,50
227,UPRIGHT ROW - 4/4,50
228,UPRIGHT ROW - PULSE,50
229,UPRIGHT ROW - TRIPLE,50
230,WALKING PLANK - 1/1,50
231,WIDE DEADLIFT - 1/1,50
232,WIDE DEADLIFT - 2/2,50
233,WIDE DEADLIFT - 3/1,50
234,WIDE DEADLIFT - 4/4,50
235,WIDE DEADROW - 1/1,50
236,WIDE DEADROW - TRIPLE,50
