,move_tempo,intensity
0,A-PRESS - 1/1,55
1,A-PRESS - 1/1/2,45
2,A-PRESS - 2/2,40
3,A-PRESS - 3/1,40
4,A-PRESS - 4/4,30
5,A-PRESS - PULSE,55
6,ARNOLD PRESS - 1/1,70
7,ARNOLD PRESS - 2/2,50
8,BACK STEPPING LUNGE - 1/1,70
9,BACK STEPPING LUNGE - 2/2,45
10,BACK STEPPING LUNGE - 4/4,40
11,BACK STEPPING LUNGE - PULSE,70
12,BICEPS BARBELL CURL - 1/1,70
13,BICEPS BARBELL CURL - 1/1/2,65
14,BICEPS BARBELL CURL - 2/2,60
15,BICEPS BARBELL CURL - 3/1,60
16,BICEPS BARBELL CURL - 4/4,45
17,BICEPS MID RANGE CURL - 1/1/2,60
18,BICEPS MID RANGE CURL - PULSE,65
19,BICEPS PLATE CURL - 1/1,65
20,BICEPS PLATE CURL - 1/1/2,55
21,BICEPS PLATE CURL - 2/2,55
22,BICEPS PLATE CURL - 3/1,55
23,BICEPS PLATE CURL - 4/4,40
24,BICEPS PLATE ROW - 1/1,25
25,BICEPS PLATE ROW - 2/2,15
26,BICEPS PLATE ROW - 4/4,10
27,BICEPS PREACHER CURL - 1/1,65
28,BICEPS PREACHER CURL - TRIPLE,70
29,CHEST FLY - 1/1,65
30,CHEST FLY - 1/1/2,45
31,CHEST FLY - 2/2,45
32,CHEST FLY - 3/1,40
33,CHEST FLY - 4/4,40
34,CHEST FLY - HALF,60
35,CHEST FLY - PULSE,65
36,CHEST PRESS - 1/1,55
37,CHEST PRESS - 1/1/2,45
38,CHEST PRESS - 1/2/1,50
39,CHEST PRESS - 2/2,40
40,CHEST PRESS - 3/1,45
41,CHEST PRESS - 4/4,25
42,CHEST PRESS - HALF,60
43,CHEST PRESS - PULSE,50
44,CLEAN AND PRESS - 1/1,75
45,CLEAN AND PRESS - 2/2,50
46,CROSS CRAWL - 1/1,30
47,CROSS CRAWL - 2/2,20
48,CROSS CRAWL - 3/1,20
49,CROSS CRAWL - 4/4,10
50,CRUNCH - 1/1,20
51,CRUNCH - 1/1/2,15
52,CRUNCH - 1/2/1,15
53,CRUNCH - 2/2,10
54,CRUNCH - 3/1,10
55,CRUNCH - 4/4,10
56,CRUNCH - PULSE,15
57,CRUNCH PLATE LIFT - 1/1,30
58,CRUNCH PLATE LIFT - 2/2,20
59,CRUNCH PLATE LIFT - 3/1,20
60,CRUNCH PLATE LIFT - PULSE,25
61,DEADLIFT - 1/1,25
62,DEADLIFT - 1/1/2,20
63,DEADLIFT - 1/3,20
64,DEADLIFT - 2/2,15
65,DEADLIFT - 3/1,15
66,DEADLIFT - 4/4,10
67,DEADROW - 1/1,30
68,DEADROW - 2/2,25
69,DEADROW - DOUBLE,40
70,DEADROW - TRIPLE,45
71,DELTOID FLY - 1/1,75
72,DELTOID FLY - 1/1/2,65
73,DELTOID FLY - 1/3,65
74,DELTOID FLY - 2/2,55
75,DELTOID FLY - 3/1,55
76,DELTOID FLY - 4/4,45
77,DELTOID FLY - TRIPLE,80
78,FORWARD RAISE - 1/1,70
79,FORWARD RAISE - 1/1/2,60
