,move_tempo,intensity
80,FORWARD RAISE - 1/3,60
81,FORWARD RAISE - 2/2,55
82,FORWARD RAISE - 4/4,45
83,FRONT SQUAT - 1/1,70
84,FRONT SQUAT - 1/1/2,65
85,FRONT SQUAT - 2/2,60
86,FRONT SQUAT - 4/4,55
87,FRONT SQUAT - HALF,70
88,FRONT SQUAT - PULSE,65
89,HIGH PULL - 1/1,65
90,HIP BRIDGE - 1/1,20
91,HIP BRIDGE - 1/1/2,15
92,HIP BRIDGE - 2/2,10
93,HIP BRIDGE - 3/1,10
94,HIP BRIDGE - 4/4,5
95,HIP BRIDGE - PULSE,20
96,HOVER - 1/1,20
97,HOVER - 1/1/2,20
98,HOVER - 2/2,15
99,HOVER - PULSE,15
100,HOVER WITH LEG LIFT - 1/1,25
101,HOVER WITH LEG LIFT - 2/2,15
102,HOVER with ROTATON - 1/1,30
103,HOVER with ROTATON - 2/2,20
104,HOVER with ROTATON - 4/4,10
105,I-Y-T RAISE - 1/1/2,80
106,I-Y-T RAISE - 2/2,70
107,I-Y-T RAISE - 4/4,50
108,LUNGE - 1/1,65
109,LUNGE - 1/1/2,55
110,LUNGE - 1/2/1,55
111,LUNGE - 1/3,35
112,LUNGE - 2/2,35
113,LUNGE - 3/1,35
114,LUNGE - 4/4,25
115,LUNGE - PULSE,65
116,MAC RAISE - 1/1,75
117,MOUNTAIN CLIMBER - 1/1,65
118,NARROW PLATE PRESS - 1/1,30
119,NARROW PLATE PRESS - PULSE,25
120,PLANK FOOT TAP - 1/1,60
121,PLATE DEADLIFT - 3/1,20
122,PLATE DEADLIFT - 4/4,15
123,PLATE DEADROW - 1/1,30
124,PLATE DEADROW - 2/2,20
125,PLATE DEADROW - PULSE,40
126,PLATE DEADROW - TRIPLE,45
127,PLATE FRONT SQUAT - 1/1,50
128,PLATE FRONT SQUAT - 1/1/2,45
129,PLATE FRONT SQUAT - 2/2,40
130,PLATE FRONT SQUAT - 4/4,30
131,PLATE FRONT SQUAT - PULSE,45
132,PLATE SQUAT PRESS - 1/1,65
133,PLATE SQUAT PRESS - 2/2,50
134,PLATE SQUAT PRESS - PULSE,65
135,PLATE SQUAT PRESS - TRIPLE,75
136,PLATE UPRIGHT ROW - 1/3,40
137,PLATE UPRIGHT ROW - 2/2,35
138,POWER PRESS - 1/1,70
139,PUSHUP - 1/1,65
140,PUSHUP - 1/1/2,55
141,PUSHUP - 2/2,50
142,PUSHUP - 3/1,50
143,PUSHUP - 4/4,35
144,PUSHUP - PULSE,65
145,PUSHUP - TRIPLE,70
146,REAR RAISE - 1/1,65
147,REAR RAISE - 1/3,50
148,REAR RAISE - 2/2,50
149,REAR RAISE - 4/4,30
150,REAR RAISE - PULSE,60
151,REVERSE CRUNCH - 1/1,30
152,REVERSE CRUNCH - 2/2,20
153,ROTATOR RAISE - 1/1,70
154,SHOOT OUT - 1/1,45
155,SHOOT OUT - 1/1/2,35
156,SHOOT OUT - 2/2,25
157,SHOOT OUT - 3/1,35
158,SHOOT OUT - DOUBLE,40
159,SHOULDER PUSH PRESS - 1/1,70
160,SHOULDER PUSH PRESS - 1/1/2,60
161,SHOULDER STRICT PRESS - 1/1,85
162,SHOULDER STRICT PRESS - 1/1/2,70
163,SHOULDER STRICT PRESS - 2/2,60
164,SHOULDER STRICT PRESS - 4/4,55
165,SHOULDER STRICT PRESS - PULSE,65
166,SIDE RAISE - 1/1,60
167,SIDE RAISE - 1/1/2,50
168,SIDE RAISE - 1/3,55
169,SIDE RAISE - 2/2,50
170,SIDE RAISE - 3/1,50
171,SIDE RAISE - 4/4,35
172,SIDE RAISE EXTENSION - 1/1,65
173,SQUAT - 1/1,65
174,SQUAT - 1/1/2,55
175,SQUAT - 1/2/1,60
176,SQUAT - 1/3,55
177,SQUAT - 2/2,50
178,SQUAT - 3/1,40
179,SQUAT - 4/4,30
180,SQUAT - HALF,55
181,SQUAT - PULSE,50
182,SQUAT with CALF RAISE - PULSE,60
183,TRICEPS BARBELL EXTENSION - 1/1,75
184,TRICEPS BARBELL EXTENSION - 1/1/2,65
185,TRICEPS BARBELL EXTENSION - 2/2,60
186,TRICEPS BARBELL EXTENSION - 3/1,55
187,TRICEPS DIP - 1/1,65
188,TRICEPS DIP - 1/1/2,60
189,TRICEPS DIP - 2/2,50
190,TRICEPS DIP - 3/1,45
191,TRICEPS DIP - 4/4,30
192,TRICEPS DIP - PULSE,65
193,TRICEPS KICKBACK - 1/1,70
194,TRICEPS KICKBACK - 1/3,65
195,TRICEPS KICKBACK - 2/2,55
196,TRICEPS KICKBACK - 3/1,55
197,TRICEPS KICKBACK - 4/4,30
198,TRICEPS KICKBACK - PULSE,65
199,TRICEPS KICKBACK - TRIPLE,75
200,TRICEPS OVERHEAD EXTENSION - 1/1,65
201,TRICEPS OVERHEAD EXTENSION - 1/1/2,60
202,TRICEPS OVERHEAD EXTENSION - 1/3,60
203,TRICEPS OVERHEAD EXTENSION - 2/2,55
204,TRICEPS OVERHEAD EXTENSION - 3/1,55
205,TRICEPS OVERHEAD EXTENSION - 4/4,30
206,TRICEPS OVERHEAD EXTENSION - PULSE,60
207,TRICEPS PRESS - 1/1,50
208,TRICEPS PRESS - 1/1/2,45
209,TRICEPS PRESS - 2/2,40
210,TRICEPS PRESS - 3/1,40
211,TRICEPS PRESS - 4/4,25
212,TRICEPS PRESS - PULSE,45
213,TRICEPS PULLOVER - 1/1,60
214,TRICEPS PULLOVER - 2/2,45
215,TRICEPS PUSHUP - 1/1,70
216,TRICEPS PUSHUP - 1/1/2,60
217,TRICEPS PUSHUP - 1/3,55
218,TRICEPS PUSHUP - 2/2,55
219,TRICEPS PUSHUP - 3/1,55
220,TRICEPS PUSHUP - 4/4,45
221,TRICEPS PUSHUP - PULSE,70
222,UPRIGHT ROW - 1/1,55
223,UPRIGHT ROW - 1/1/2,45
224,UPRIGHT ROW - 1/3,40
225,UPRIGHT ROW - 2/2,40
226,UPRIGHT ROW - 3/1,40
227,UPRIGHT ROW - 4/4,30
228,UPRIGHT ROW - PULSE,65
229,UPRIGHT ROW - TRIPLE,70
230,WALKING PLANK - 1/1,40
231,WIDE DEADLIFT - 1/1,35
232,WIDE DEADLIFT - 2/2,25
233,WIDE DEADLIFT - 3/1,25
234,WIDE DEADLIFT - 4/4,20
235,WIDE DEADROW - 1/1,40
236,WIDE DEADROW - TRIPLE,50
